trial_id,title,status,phase,sponsor,sponsor_class,intervention_names,intervention_types,countries,regions,last_update_posted,has_results,source_url
NCT05179018,Clinical and Diagnostic Value of Ribosomal p2 Autoantibodies in Systemic Lupus Erythematosus,UNKNOWN,N/A,Assiut University,OTHER,Ribosomal p2 Autoantibodies as a Serum marker,diagnostic_test,,,2022-02-24,False,https://clinicaltrials.gov/study/NCT05179018
NCT05193591,"Anti-C1s, Anti-HMGB1 and Anti-C1q Autoantibodies in Systemic Lupus Erythematosus (DYSALARM-322)",RECRUITING,N/A,"University Hospital, Grenoble",OTHER,Autoantibodies evaluation in lupus,other,France,Europe,2024-08-30,False,https://clinicaltrials.gov/study/NCT05193591
NCT05195086,A Pharmacoeconomic Study Comparing the Use of Mycophenolate Mofetil or Cyclophosphamide as Induction Therapy in Lupus Nephritis Patients in Egypt,COMPLETED,N/A,Nada Magdy Mansour,OTHER,cellcept; endoxan,drug,Egypt,Middle East / Africa,2022-01-18,False,https://clinicaltrials.gov/study/NCT05195086
NCT05201469,VIBRANT: VIB4920 for Active Lupus Nephritis,RECRUITING,Phase 2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Placebo for VIB4920; VIB4920,drug,United States,North America,2025-12-19,False,https://clinicaltrials.gov/study/NCT05201469
NCT05203419,Multiple Ascending Dose Study of MHS552 in Adults Participants With Systemic Lupus Erythematosus (SLE),TERMINATED,Phase 1,Novartis Pharmaceuticals,INDUSTRY,MHS552; Placebo,drug,Germany,Europe,2024-10-09,False,https://clinicaltrials.gov/study/NCT05203419
NCT05203692,A Study of a Single Ascending Dose Study of DS-7011a in Healthy Subjects,COMPLETED,Phase 1,Daiichi Sankyo,INDUSTRY,DS-7011a; Placebo,drug,United States,North America,2023-04-11,False,https://clinicaltrials.gov/study/NCT05203692
NCT05207358,Minimizing Glucocorticoid Administration in Patients With Proliferative Lupus Nephritis,RECRUITING,Phase 4,Institutul Clinic Fundeni,OTHER,Corticosteroids; Cyclophosphamide; Mycophenolate Mofetil; Rituximab,drug,Romania,Europe,2022-03-03,False,https://clinicaltrials.gov/study/NCT05207358
NCT05230316,Gynecological Symptoms and Health-related Quality of Life in Egyptian Women With SLE,UNKNOWN,N/A,Fayoum University,OTHER,,,Egypt,Middle East / Africa,2023-05-01,False,https://clinicaltrials.gov/study/NCT05230316
NCT05232864,"Open-label Extension Study of Efficacy, Safety and Tolerability of Secukinumab in Patients With Active Lupus Nephritis",TERMINATED,Phase 3,Novartis Pharmaceuticals,INDUSTRY,Secukinumab,drug,Australia; Brazil; Colombia; Czechia; Guatemala; Japan; Philippines; Portugal; Slovakia; South Korea; Spain; Thailand; Vietnam,East Asia; Europe; Latin America; Oceania; Other / Global; Southeast Asia,2025-05-16,True,https://clinicaltrials.gov/study/NCT05232864
NCT05236491,COvid-19 Vaccine Booster in Immunocompromised Rheumatic Diseases,UNKNOWN,"Phase 2, Phase 3",Paul R Fortin,OTHER,COVID-19 vaccine,biological,Canada,North America,2023-01-17,False,https://clinicaltrials.gov/study/NCT05236491
NCT05243875,Lupus Education Alliance Program,TERMINATED,N/A,Tulane University,OTHER,LEAP Education; LEAP Education + Navigation,behavioral,United States,North America,2025-08-03,False,https://clinicaltrials.gov/study/NCT05243875
NCT05247203,Telitacicept Study in Chinese Subjects With Systemic Lupus Erythematosus,COMPLETED,Phase 1,"RemeGen Co., Ltd.",INDUSTRY,Telitacicept; standard therapy,biological; drug,China,East Asia,2023-12-06,False,https://clinicaltrials.gov/study/NCT05247203
NCT05251415,Clinico-biological Collection to Investigate the Physiopathology of Systemic Autoimmune Diseases,RECRUITING,N/A,"University Hospital, Toulouse",OTHER,Blood sampling,biological,France,Europe,2026-03-17,False,https://clinicaltrials.gov/study/NCT05251415
NCT05253638,Evaluation Of Serum MIF Level in SLE Patients,UNKNOWN,N/A,Assiut University,OTHER,Macrophage migration inhibitory factor,diagnostic_test,,,2022-02-24,False,https://clinicaltrials.gov/study/NCT05253638
NCT05260255,Effect of Vitamin D Supplement on Disease Activity in SLE,COMPLETED,N/A,Department of Medical Services Ministry of Public Health of Thailand,OTHER_GOV,Placebo; vitamin D2 ( calciferol ),drug,Thailand,Southeast Asia,2025-01-06,False,https://clinicaltrials.gov/study/NCT05260255
NCT05261529,Effects of an Intervention With EVOO and Physical Activity in Patients With Systemic Lupus Erythematosus,UNKNOWN,N/A,Universidad de Granada,OTHER,Extra Virgin Olive Oil (EVOO); Physical Exercise Program,behavioral; dietary_supplement,Spain,Europe,2022-12-20,False,https://clinicaltrials.gov/study/NCT05261529
NCT05262686,Efficacy and Immunological Evaluation of Belimumab Plus Low Dose IL-2 in the Treatment of Systemic Lupus Erythematosus,UNKNOWN,Phase 3,Peking University People's Hospital,OTHER,Belimumab; Interleukin-2,drug,China,East Asia,2022-03-25,False,https://clinicaltrials.gov/study/NCT05262686
NCT05268289,"Study of Efficacy and Safety of LNP023 in Participants With Active Lupus Nephritis Class III-IV, +/- V",RECRUITING,Phase 2,Novartis Pharmaceuticals,INDUSTRY,Iptacopan (part 1); Iptacopan (part 2); Iptacopan + placebo; Placebo + standard of care,drug,Argentina; Brazil; China; Colombia; France; Germany; Hong Kong; Hungary; India; Israel; Malaysia; Mexico; Philippines; Portugal; Puerto Rico; Singapore; Spain; Turkey (Türkiye); United Kingdom; United States,East Asia; Europe; Latin America; Middle East; North America; Other / Global; South Asia; Southeast Asia,2026-04-20,False,https://clinicaltrials.gov/study/NCT05268289
